Name,Score,Genre,Episodes,Studios,Rating
Cowboy Bebop,9,Action,1818,Sunrise,R - 17+ (violence & profanity)
Cowboy Bebop: Tengoku no Tobira,8,Action,1787,Bones,R - 17+ (violence & profanity)
Trigun,8,Action,1565,Madhouse,PG-13 - Teens 13 or older
Witch Hunter Robin,7,Action,1471,Sunrise,PG-13 - Teens 13 or older
Bouken Ou Beet,7,Adventure,1428,Toei Animation,PG - Children
Eyeshield 21,8,Action,1274,Gallop,PG-13 - Teens 13 or older
Hachimitsu to Clover,8,Comedy,1006,J.C.Staff,PG-13 - Teens 13 or older
Hungry Heart: Wild Striker,8,Slice of Life,726,Nippon Animation,PG-13 - Teens 13 or older
Initial D Fourth Stage,8,Action,694,A.C.G.T.,PG-13 - Teens 13 or older
Naruto,8,Action,526,Studio Pierrot,PG-13 - Teens 13 or older
Tennis no Ouji-sama,8,Action,510,Trans Arts,PG-13 - Teens 13 or older
Ring ni Kakero 1,6,Action,500,Toei Animation,PG - Children
School Rumble,8,Comedy,373,Studio Comet,PG-13 - Teens 13 or older
Sunabouzu,7,Action,366,Gonzo,R - 17+ (violence & profanity)
Trinity Blood,7,Action,358,Gonzo,R - 17+ (violence & profanity)
Yakitate!! Japan,8,Comedy,331,Sunrise,PG-13 - Teens 13 or older
Zipang,8,Action,330,Studio Deen,PG-13 - Teens 13 or older
Neon Genesis Evangelion,8,Action,305,"Gainax, Tatsunoko Production",PG-13 - Teens 13 or older
Neon Genesis Evangelion: Death & Rebirth,7,Drama,300,"Gainax, Production I.G",R - 17+ (violence & profanity)
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,9,Action,296,Studio Deen,R - 17+ (violence & profanity)
Rurouni Kenshin: Meiji Kenkaku Romantan,8,Action,296,"Gallop, Studio Deen",PG-13 - Teens 13 or older
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,8,Samurai,291,Gallop,R - 17+ (violence & profanity)
.hack//Sign,7,Game,276,Bee Train,PG-13 - Teens 13 or older
